Level	Rule Name	Subject	Property	Value
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ElevatedMood	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#EnvironmentalMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#Event	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#EventWindow	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#EventWindowX	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ExerciseAndSleepFeature	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ExerciseSession	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#FamilyVisit	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#GyroscopeMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#HeartRateMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#HeartRateMeasurementX	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#HeartRateVariabilityMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#HeartRateVariabilityMeasurementX	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#HolidayPeriod	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#HomeAlone	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#HomeStayDuration	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#HomeStayDurationFeatureX	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#HourlyInterval	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#Hyperactivity	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#InferenceRule	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#InsomniaSymptom	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#Interface	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#KeyboardMetricsMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#LikertFormat	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#LocationEntropy	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#LocationTransitionCount	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#LowMood	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#MagneticFieldMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#Measurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#MeasurementLayer	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#MedicalEvent	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#MessageLatency	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#MessageUsageMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#MobilityPatternFeature	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#MobilityPatternFeatureX	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ModelBasedComputation	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#MoodDomain	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#MoodInstability	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#MoodPhenotype	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#MultipleChoiceFormat	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#NightTime	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#NotificationEvent	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ObservationContext	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ParanoiaDomain	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#Participant	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ParticipantDataSet	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ParticipantX	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#PhysicalInactivity	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#PhysicalInactivityX	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#PhysiologicalMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#PostDischargePeriod	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#PreRelapsePeriod	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ProvenanceLayer	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#PublicEvent	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#Question	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#QuestionDomain	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#QuestionnaireDataSet	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#QuestionnaireEntry	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#QuestionnaireLayer	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ReducedCommunication	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#RelapseRisk	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#RespiratoryRateMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ResponseFormat	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ResponseItem	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#RestingHeartRateMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#RiskPhenotype	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#RotationRateMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ScreenEventMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SensorDataSet	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SensorMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SleepDomain	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SleepEnvironment	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SleepIrregularity	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SleepOnsetLatency	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SleepPhenotype	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SleepRegularityFeature	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SleepStageMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SleepStageMeasurementX	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SleepStructureFeature	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SliderFormat	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SmartphoneDevice	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SocialEvent	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SocialPhenotype	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#SocialWithdrawal	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#Stage1	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#Stage2	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#StressDomain	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#StressRisk	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#TelephonySpeechMetric	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#TextFormat	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#TimeInterval	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#TimeIntervalX	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#TimeSpentAwayFromHome	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#TimeZoneSetting	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#TotalSleepTime	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#TypingSpeed	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#UnlockEvent	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#UsageRegularity	rdfs:label	
